SourceFile,Status,Error,ElementsTotal,IfcPileCount,IfcPileDurchmesserPresentCount,IfcPileDurchmesserCoveragePercent,IfcEntity_DefinedInFile,IfcEntity_PresentCount,IfcEntity_MissingCount,IfcEntity_CoveragePercent,PredefinedType_DefinedInFile,PredefinedType_PresentCount,PredefinedType_MissingCount,PredefinedType_CoveragePercent,Name_DefinedInFile,Name_PresentCount,Name_MissingCount,Name_CoveragePercent,Material_DefinedInFile,Material_PresentCount,Material_MissingCount,Material_CoveragePercent,Durchmesser_DefinedInFile,Durchmesser_PresentCount,Durchmesser_MissingCount,Durchmesser_CoveragePercent,CastingMethod_DefinedInFile,CastingMethod_PresentCount,CastingMethod_MissingCount,CastingMethod_CoveragePercent,StrengthClass_DefinedInFile,StrengthClass_PresentCount,StrengthClass_MissingCount,StrengthClass_CoveragePercent
Haus-ifcopenshell.ifc,ok,,52,0,0,0.0,yes,52,0,100.0,yes,6,46,11.54,yes,50,2,96.15,yes,52,0,100.0,no,0,52,0.0,no,0,52,0.0,no,0,52,0.0
ifcbridge-model01.ifc,ok,,172,0,0,0.0,yes,172,0,100.0,yes,75,97,43.6,yes,172,0,100.0,yes,118,54,68.6,no,0,172,0.0,no,0,172,0.0,no,0,172,0.0
Infra-Bridge.ifc,ok,,40,0,0,0.0,yes,40,0,100.0,no,0,40,0.0,yes,40,0,100.0,yes,40,0,100.0,no,0,40,0.0,no,0,40,0.0,no,0,40,0.0
Tekla-Export.ifc,ok,,25,0,0,0.0,yes,25,0,100.0,no,0,25,0.0,yes,25,0,100.0,yes,25,0,100.0,no,0,25,0.0,no,0,25,0.0,no,0,25,0.0
Test-Modell.ifc,ok,,36,0,0,0.0,yes,36,0,100.0,yes,4,32,11.11,yes,36,0,100.0,yes,36,0,100.0,no,0,36,0.0,no,0,36,0.0,no,0,36,0.0
